0x0	0xd
0x4979	0x498c
0x499b	0x49b0
0x49b3	0x49c7
0x49d6	0x49e8
0x4a0c	0x4a1e
0x4a40	0x4a54
0x4a57	0x4a6b
0x4a7a	0x4a8c
0x4ab0	0x4abf
0x4adf	0x4af0
0x4b16	0x4b2a
0x4b79	0x4b8a
0x4ba8	0x4bbc
0x4bf8	0x4c09
0x4c2c	0x4c40
0x4c86	0x4c98
0x4ce0	0x4cf2
0x4cf5	0x4d16
0x4d31	0x4d3f
0x4d42	0x4d55
0x4d58	0x4d66
0x4d69	0x4d77
0x4d7a	0x4d8d
0x4d9c	0x4db0
0x4db3	0x4dc7
0x4def	0x4e01
0x4e11	0x4e23
0x4e26	0x4e39
0x4e70	0x4e7e
0x4e88	0x4e96
0x4ea0	0x4eb4
0x4f06	0x4f15
0x4f27	0x4f36
0x4f4a	0x4f58
0x4f5b	0x4f68
0x4f6b	0x4f82
0x4f82	0x4f8b
0x4f8b	0x4fbd
0x4fc0	0x5003
0x5006	0x501b
0x501e	0x5029
0x5390	0x53c1
0x53c4	0x53db
0x53de	0x53ef
0x53f3	0x5423
0x5426	0x5441
0x544a	0x544d
0x544d	0x5456
0x5465	0x546e
0x5476	0x5494
0x6c4f	0x1df
0x8440x5c2	0x8460x5c2
0x8440x1bc1	0x8460x1bc1
0x8460x5c2	0x84b0x5c2
0x8460x1bc1	0x84b0x1bc1
0x9470x932	0x9c00x932
0x9470x1ed8	0x9c00x1ed8
0x9c40x932	0x9cf0x932
0x9c40x117d	0x9cf0x117d
0x9c40x153b	0x9cf0x153b
0x9c40x1550	0x9cf0x1550
0x9c40x1ed8	0x9cf0x1ed8
0xa380x2e6c	0xa450x2e6c
0xa760xa38	0xa980xa38
0xa760x2e6c	0xa980x2e6c
0xa980xa38	0xa9a0xa38
0xa980x2e6c	0xa9a0x2e6c
0xa9a0xa38	0xab30xa38
0xa9a0x2e6c	0xab30x2e6c
0xae90xa38	0xb050xa38
0xae90x2e6c	0xb050x2e6c
0xb260xa38	0xb2b0xa38
0xb260x2e6c	0xb2b0x2e6c
0xb6e0xa38	0xb8b0xa38
0xb6e0x2e6c	0xb8b0x2e6c
0xbac0xa38	0xbb10xa38
0xbac0x2e6c	0xbb10x2e6c
0xbb10xa38	0xbb80xa38
0xbb10x2e6c	0xbb80x2e6c
0xbb80xa38	0xbbe0xa38
0xbb80x2e6c	0xbbe0x2e6c
0xbfe0xa38	0xc2c0xa38
0xbfe0x2e6c	0xc2c0x2e6c
0xc8e0xa38	0xc970xa38
0xc8e0xf23	0xc970xf23
0xc8e0x1ac7	0xc970x1ac7
0xc8e0x2e6c	0xc970x2e6c
0xd950xd6a	0xd980xd6a
0xd950x1563	0xd980x1563
0xd950x2086	0xd980x2086
0xd950x33da	0xd980x33da
0xd950x344e	0xd980x344e
0xd950x37be	0xd980x37be
0xd950x4224	0xd980x4224
0xd950x4d31	0xd980x4d31
0xd950x4f4a	0xd980x4f4a
0xf230x1ac7	0xf300x1ac7
0xf610xf23	0xf850xf23
0xf610x1ac7	0xf850x1ac7
0xf850xf23	0xf870xf23
0xf850x1ac7	0xf870x1ac7
0xf870xf23	0xfa00xf23
0xf870x1ac7	0xfa00x1ac7
0xfcd0xf23	0xfe90xf23
0xfcd0x1ac7	0xfe90x1ac7
0x100a0xf23	0x100f0xf23
0x100a0x1ac7	0x100f0x1ac7
0x104a0xf23	0x10670xf23
0x104a0x1ac7	0x10670x1ac7
0x10880xf23	0x108d0xf23
0x10880x1ac7	0x108d0x1ac7
0x108d0xf23	0x10940xf23
0x108d0x1ac7	0x10940x1ac7
0x10940xf23	0x109a0xf23
0x10940x1ac7	0x109a0x1ac7
0x10da0xf23	0x110b0xf23
0x10da0x1ac7	0x110b0x1ac7
0x118c0x117d	0x12190x117d
0x118c0x153b	0x12190x153b
0x118c0x1550	0x12190x1550
0x14260x1393	0x14490x1393
0x14260x1f5f	0x14490x1f5f
0x1f550x1f0c	0x1f580x1f0c
0x1f550x41bb	0x1f580x41bb
0x26220x21f1	0x26280x21f1
0x26220x220b	0x26280x220b
0x26220x2617	0x26280x2617
0x26450x21f1	0x26a80x21f1
0x26450x220b	0x26a80x220b
0x26450x2617	0x26a80x2617
0x26ac0x21f1	0x26b70x21f1
0x26ac0x220b	0x26b70x220b
0x26ac0x2617	0x26b70x2617
0x26c00x21f1	0x26d20x21f1
0x26c00x220b	0x26d20x220b
0x26c00x2617	0x26d20x2617
0x26df0x1472	0x270a0x1472
0x26df0x1bc1	0x270a0x1bc1
0x273b0x1472	0x27640x1472
0x273b0x1bc1	0x27640x1bc1
0x273b0x26df	0x27640x26df
0x27640x1472	0x27690x1472
0x27640x1bc1	0x27690x1bc1
0x27640x26df	0x27690x26df
0x276d0x1472	0x27950x1472
0x276d0x1bc1	0x27950x1bc1
0x276d0x26df	0x27950x26df
0x27a30x1472	0x27a90x1472
0x27a30x1bc1	0x27a90x1bc1
0x27a30x26df	0x27a90x26df
0x27a90x1472	0x27d10x1472
0x27a90x1bc1	0x27d10x1bc1
0x27a90x26df	0x27d10x26df
0x27d10x1472	0x28050x1472
0x27d10x1bc1	0x28050x1bc1
0x27d10x26df	0x28050x26df
0x28360x1472	0x283f0x1472
0x28360x1bc1	0x283f0x1bc1
0x28360x26df	0x283f0x26df
0x33da0x1563	0x33e80x1563
0x34660x1cfd	0x34860x1cfd
0x34660x1d9b	0x34860x1d9b
0x34c20x21f1	0x34c80x21f1
0x34c20x2264	0x34c80x2264
0x34c20x34b9	0x34c80x34b9
0x352e0x21f1	0x35c60x21f1
0x352e0x2264	0x35c60x2264
0x352e0x34b9	0x35c60x34b9
0x35c60x21f1	0x35cf0x21f1
0x35c60x2264	0x35cf0x2264
0x35c60x34b9	0x35cf0x34b9
0x36030x21f1	0x36440x21f1
0x36030x2264	0x36440x2264
0x36030x34b9	0x36440x34b9
0x36650x21f1	0x366a0x21f1
0x36650x2264	0x366a0x2264
0x36650x34b9	0x366a0x34b9
0x366a0x21f1	0x36770x21f1
0x366a0x2264	0x36770x2264
0x366a0x34b9	0x36770x34b9
0x36770x21f1	0x36830x21f1
0x36770x2264	0x36830x2264
0x36770x34b9	0x36830x34b9
0x36830x21f1	0x36940x21f1
0x36830x2264	0x36940x2264
0x36830x34b9	0x36940x34b9
0x36980x21f1	0x369c0x21f1
0x36980x2264	0x369c0x2264
0x36980x34b9	0x369c0x34b9
0x369c0x21f1	0x36a20x21f1
0x369c0x2264	0x36a20x2264
0x369c0x34b9	0x36a20x34b9
0x37fa0x37d4	0x383c0x37d4
0x38400x37d4	0x385f0x37d4
0x38400x37fa	0x385f0x37fa
0x385f0x37d4	0x386b0x37d4
0x385f0x37fa	0x386b0x37fa
0x386b0x37d4	0x389b0x37d4
0x386b0x37fa	0x389b0x37fa
0x389c0x37d4	0x38f80x37d4
0x389c0x37fa	0x38f80x37fa
0x38f90x37d4	0x392b0x37d4
0x38f90x37fa	0x392b0x37fa
0x392b0x37d4	0x39350x37d4
0x392b0x37fa	0x39350x37fa
0x39350x37d4	0x39420x37d4
0x39350x37fa	0x39420x37fa
0x39430x37d4	0x39780x37d4
0x39430x37fa	0x39780x37fa
0x39790x37d4	0x398e0x37d4
0x39790x37fa	0x398e0x37fa
0x398f0x37d4	0x39ca0x37d4
0x398f0x37fa	0x39ca0x37fa
0x39cb0x37d4	0x39e00x37d4
0x39cb0x37fa	0x39e00x37fa
0x39e10x37d4	0x39f60x37d4
0x39e10x37fa	0x39f60x37fa
0x40df0x3f7c	0x40e80x3f7c
0x40df0x442e	0x40e80x442e
0x40f70x3f7c	0x410b0x3f7c
0x40f70x442e	0x410b0x442e
0x410b0x3f7c	0x41240x3f7c
0x410b0x442e	0x41240x442e
